"","Source_ID","SSB","LUH1","n","HasBaseline","Crop_name","allMagpie1","allMagpie2","Notes","Checked_by"
"1","AD1_2009__Knight","AD1_2009__Knight 1 ","Cropland",5,"No","","","","",""
"2","AD1_2010__Redpath","AD1_2010__Redpath 1 1","Cropland",1,"No","","","","",""
"3","AD1_2012__Yamaura","AD1_2012__Yamaura 1 ","Plantation forest",2,"Yes","","","","",""
"4","AD1_2012__Yamaura","AD1_2012__Yamaura 2 ","Plantation forest",2,"Yes","","","","",""
"5","AD1_2012__Yamaura","AD1_2012__Yamaura 3 ","Plantation forest",2,"Yes","","","","",""
"6","DG1_2008b_Yan","DG1_2008b_Yan 1 ","Plantation forest",4,"No","","","","",""
"7","DG1_2008__Yan","DG1_2008__Yan 1 ","Plantation forest",4,"No","","","","",""
"8","DG1_2012__Ge","DG1_2012__Ge 1 ","Cropland",1,"No","","","","",""
"9","DG1_2013__Zou","DG1_2013__Zou 1 ","Plantation forest",1,"No","","","","",""
"10","DI1_2004__Naidoo","DI1_2004__Naidoo 1 ","Cropland",31,"Yes","","","","",""
"11","DI1_2006__Scott","DI1_2006__Scott 1 ","Cropland",1,"Yes","","","","",""
"12","DI1_2006__Scott","DI1_2006__Scott 2 ","Cropland",1,"Yes","","","","",""
"13","DI1_2011__Dawson","DI1_2011__Dawson 1 ","Cropland",3,"Yes","","","","",""
"14","DI1_2011__Neuschulz","DI1_2011__Neuschulz 1 OG","Cropland",5,"Yes","","","","",""
"15","DI1_2011__Neuschulz","DI1_2011__Neuschulz 1 VC","Cropland",1,"Yes","","","","",""
"16","DI1_2012__GhelerCosta","DI1_2012__GhelerCosta 1 ","Plantation forest",4,"No","","","","",""
"17","DI1_2012__Reid","DI1_2012__Reid 1 ","Plantation forest",8,"Yes","","","","",""
"18","DI1_2012__Roes","DI1_2012__Roes 1 ","Plantation forest",7,"Yes","","","","",""
"19","DL1_2005__Ferreira","DL1_2005__Ferreira 1 C1","Plantation forest",3,"No","","","","",""
"20","DL1_2009__Woinarski","DL1_2009__Woinarski 1 9","Cropland",1,"No","","","","",""
"21","DL1_2009__Woinarski","DL1_2009__Woinarski 2 9","Cropland",1,"No","","","","",""
"22","DL1_2011__Mallari","DL1_2011__Mallari 1 1","Cropland",1,"No","","","","",""
"23","DL1_2011__Mallari","DL1_2011__Mallari 1 12","Cropland",1,"No","","","","",""
"24","DL1_2011__Mallari","DL1_2011__Mallari 1 16","Cropland",1,"No","","","","",""
"25","DL1_2011__Mallari","DL1_2011__Mallari 1 17","Cropland",1,"No","","","","",""
"26","DL1_2011__Mallari","DL1_2011__Mallari 1 19","Cropland",1,"No","","","","",""
"27","DL1_2011__Mallari","DL1_2011__Mallari 1 20","Cropland",1,"No","","","","",""
"28","DL1_2011__Mallari","DL1_2011__Mallari 1 21","Cropland",1,"No","","","","",""
"29","DL1_2011__Mallari","DL1_2011__Mallari 1 23","Cropland",1,"No","","","","",""
"30","DL1_2011__Mallari","DL1_2011__Mallari 1 28","Cropland",1,"No","","","","",""
"31","DL1_2011__Mallari","DL1_2011__Mallari 1 29","Cropland",1,"No","","","","",""
"32","DL1_2012__Dallimer","DL1_2012__Dallimer 1 ","Plantation forest",4,"Yes","","","","",""
"33","DL1_2012__Siebert","DL1_2012__Siebert 1 12","Cropland",4,"Yes","","","","",""
"34","DL1_2013__Alcayaga","DL1_2013__Alcayaga 1 1","Cropland",1,"No","","","","",""
"35","DL1_2013__Alcayaga","DL1_2013__Alcayaga 1 2","Cropland",1,"No","","","","",""
"36","DL1_2013__Alcayaga","DL1_2013__Alcayaga 1 3","Cropland",1,"No","","","","",""
"37","DL1_2013__Alcayaga","DL1_2013__Alcayaga 1 4","Cropland",1,"No","","","","",""
"38","GN1_2010__Hvenegaard","GN1_2010__Hvenegaard 1 11","Cropland",2,"Yes","","","","",""
"39","GN1_2010__Hvenegaard","GN1_2010__Hvenegaard 1 12","Cropland",4,"Yes","","","","",""
"40","GN1_2010__Hvenegaard","GN1_2010__Hvenegaard 1 13","Cropland",2,"Yes","","","","",""
"41","GN1_2010__Hvenegaard","GN1_2010__Hvenegaard 1 14","Cropland",3,"Yes","","","","",""
"42","GN1_2010__Hvenegaard","GN1_2010__Hvenegaard 1 16","Cropland",2,"Yes","","","","",""
"43","GN1_2010__Hvenegaard","GN1_2010__Hvenegaard 1 17","Cropland",4,"Yes","","","","",""
"44","GN1_2010__Hvenegaard","GN1_2010__Hvenegaard 1 18","Cropland",1,"Yes","","","","",""
"45","GN1_2010__Hvenegaard","GN1_2010__Hvenegaard 1 20","Cropland",2,"Yes","","","","",""
"46","GN1_2010__Hvenegaard","GN1_2010__Hvenegaard 1 21","Cropland",1,"Yes","","","","",""
"47","GN1_2010__Hvenegaard","GN1_2010__Hvenegaard 1 22","Cropland",3,"Yes","","","","",""
"48","GN1_2010__Hvenegaard","GN1_2010__Hvenegaard 1 3","Cropland",1,"Yes","","","","",""
"49","GN1_2010__Hvenegaard","GN1_2010__Hvenegaard 1 4","Cropland",1,"Yes","","","","",""
"50","GN1_2010__Hvenegaard","GN1_2010__Hvenegaard 1 5","Cropland",2,"Yes","","","","",""
"51","GN1_2010__Hvenegaard","GN1_2010__Hvenegaard 1 6","Cropland",2,"Yes","","","","",""
"52","GN1_2010__Hvenegaard","GN1_2010__Hvenegaard 1 7","Cropland",1,"Yes","","","","",""
"53","GN1_2010__Hvenegaard","GN1_2010__Hvenegaard 1 8","Cropland",4,"Yes","","","","",""
"54","GN1_2010__Hvenegaard","GN1_2010__Hvenegaard 1 9","Cropland",2,"Yes","","","","",""
"55","GN1_2010__Hvenegaard","GN1_2010__Hvenegaard 2 11","Cropland",2,"Yes","","","","",""
"56","GN1_2010__Hvenegaard","GN1_2010__Hvenegaard 2 12","Cropland",4,"Yes","","","","",""
"57","GN1_2010__Hvenegaard","GN1_2010__Hvenegaard 2 13","Cropland",2,"Yes","","","","",""
"58","GN1_2010__Hvenegaard","GN1_2010__Hvenegaard 2 14","Cropland",3,"Yes","","","","",""
"59","GN1_2010__Hvenegaard","GN1_2010__Hvenegaard 2 16","Cropland",2,"Yes","","","","",""
"60","GN1_2010__Hvenegaard","GN1_2010__Hvenegaard 2 17","Cropland",4,"Yes","","","","",""
"61","GN1_2010__Hvenegaard","GN1_2010__Hvenegaard 2 18","Cropland",1,"Yes","","","","",""
